#{"t_start": 1708424537.4409866, "env_id": "None"}
r,l,t
0.0,201,47.732654
0.0,201,47.882595
0.0,201,48.057549
0.0,201,48.21173
0.0,201,48.372675
0.0,201,48.530115
0.0,201,48.691289
0.0,201,48.854165
0.0,201,49.004426
0.0,201,49.155101
0.0,201,49.314674
0.0,201,49.462862
0.0,201,49.631395
0.0,201,49.824593
0.0,201,49.975011
0.0,201,50.149104
0.0,201,50.322886
0.0,201,50.475518
0.0,201,50.656216
0.0,201,50.811779
0.0,201,50.96277
0.0,201,51.151073
0.0,201,51.293533
0.0,201,51.443156
0.0,201,51.633183
0.0,201,51.844471
0.0,201,52.066939
0.0,201,52.307808
0.0,201,52.509651
0.0,201,52.715381
0.0,201,52.918636
0.0,201,53.141208
0.0,201,53.359984
0.0,201,53.57919
0.0,201,53.725369
0.0,201,53.883929
0.0,201,54.04424
0.0,201,54.224893
0.0,201,54.378434
0.0,201,54.543893
0.0,201,54.701294
0.0,201,54.848571
0.0,201,55.017429
0.0,201,55.176381
0.0,201,55.342373
0.0,201,55.496554
0.0,201,55.674925
0.0,201,55.826679
0.0,201,55.99916
0.0,201,56.167765
0.0,201,56.359103
0.0,201,56.514678
0.0,201,56.68145
0.0,201,56.835447
0.0,201,56.999272
0.0,201,57.145032
0.0,201,57.303712
0.0,201,57.456929
0.0,201,57.630292
0.0,201,57.788842
100.0,2,57.789967
0.0,201,57.953203
0.0,201,58.109826
0.0,201,58.269262
0.0,201,58.454456
0.0,201,58.626727
0.0,201,58.800622
0.0,201,58.965065
0.0,201,59.146993
0.0,201,59.303997
0.0,201,59.453031
0.0,201,59.616546
0.0,201,59.786871
0.0,201,59.960129
0.0,201,60.125939
0.0,201,60.286782
100.0,1,60.288032
0.0,201,60.455298
0.0,201,60.632358
0.0,201,60.791931
0.0,201,60.959818
0.0,201,61.129588
0.0,201,61.292386
0.0,201,61.438952
0.0,201,61.603822
0.0,201,61.76961
0.0,201,61.916211
0.0,201,62.08651
0.0,201,62.246746
0.0,201,62.398642
0.0,201,62.565208
0.0,201,62.732751
0.0,201,62.943203
0.0,201,63.138742
0.0,201,63.334915
0.0,201,63.558674
0.0,201,63.762747
0.0,201,63.975678
0.0,201,64.15693
0.0,201,64.343855
0.0,201,64.538202
0.0,201,64.732202
0.0,201,64.912613
0.0,201,65.147159
0.0,201,65.307837
0.0,201,65.475838
0.0,201,65.657028
0.0,201,65.815582
0.0,201,65.986181
0.0,201,66.152706
0.0,201,66.316922
0.0,201,66.483358
0.0,201,66.705379
0.0,201,66.907088
0.0,201,67.080986
0.0,201,67.280752
0.0,201,67.467422
0.0,201,67.642838
0.0,201,67.826036
0.0,201,68.008509
0.0,201,68.197324
100.0,1,68.198094
0.0,201,68.375719
0.0,201,68.557132
0.0,201,68.730741
0.0,201,68.901707
100.0,2,68.904756
0.0,201,69.056376
0.0,201,69.307042
100.0,2,69.313403
0.0,201,69.575068
0.0,201,69.735738
0.0,201,69.892859
0.0,201,70.052232
0.0,201,70.212161
0.0,201,70.417803
0.0,201,70.638844
0.0,201,70.87044
0.0,201,71.080497
0.0,201,71.281295
0.0,201,71.484746
0.0,201,71.817228
0.0,201,72.023179
0.0,201,72.189172
0.0,201,72.365905
0.0,201,72.538705
0.0,201,72.695226
0.0,201,72.869218
0.0,201,73.029751
0.0,201,73.211616
0.0,201,73.457812
0.0,201,73.6266
0.0,201,73.795441
0.0,201,73.987541
0.0,201,74.159904
0.0,201,74.319528
0.0,201,74.486193
0.0,201,74.64611
0.0,201,74.796986
0.0,201,74.960197
0.0,201,75.130735
0.0,201,75.280413
0.0,201,75.437357
0.0,201,75.599471
0.0,201,75.774626
0.0,201,75.933364
0.0,201,76.111655
0.0,201,76.280365
0.0,201,76.429317
0.0,201,76.587014
0.0,201,76.743033
0.0,201,76.901471
0.0,201,77.071739
0.0,201,77.231607
0.0,201,77.391777
0.0,201,77.583225
0.0,201,77.748534
0.0,201,77.918101
0.0,201,78.081329
0.0,201,78.245379
0.0,201,78.426309
0.0,201,78.595343
0.0,201,78.752989
0.0,201,78.918964
0.0,201,79.103633
0.0,201,79.265725
0.0,201,79.436371
0.0,201,79.589617
0.0,201,79.759182
0.0,201,79.925543
0.0,201,80.093575
0.0,201,80.260734
0.0,201,80.440429
0.0,201,80.614516
0.0,201,80.782429
0.0,201,80.933744
0.0,201,81.099874
0.0,201,81.252818
0.0,201,81.410231
0.0,201,81.582495
0.0,201,81.755252
100.0,1,81.756265
0.0,201,81.922071
0.0,201,82.079915
0.0,201,82.250113
0.0,201,82.414779
0.0,201,82.586935
0.0,201,82.765599
0.0,201,82.932036
0.0,201,83.087823
0.0,201,83.261995
0.0,201,83.421541
0.0,201,83.583277
0.0,201,83.740509
0.0,201,83.894023
0.0,201,84.057083
0.0,201,84.225193
0.0,201,84.389068
0.0,201,84.550576
0.0,201,84.712072
0.0,201,84.893199
0.0,201,85.057698
0.0,201,85.220722
0.0,201,85.388796
0.0,201,85.548769
0.0,201,85.698629
0.0,201,85.90478
0.0,201,86.085136
0.0,201,86.322271
0.0,201,86.588703
0.0,201,86.940305
0.0,201,87.293302
0.0,201,87.599676
0.0,201,87.812808
0.0,201,88.030545
0.0,201,88.285054
0.0,201,88.494135
0.0,201,88.760018
0.0,201,89.023205
0.0,201,89.264964
0.0,201,89.523893
0.0,201,89.745729
0.0,201,89.967839
0.0,201,90.202581
0.0,201,90.392923
0.0,201,90.554266
0.0,201,90.71599
0.0,201,90.879462
100.0,4,90.883576
0.0,201,91.037844
0.0,201,91.205253
0.0,201,91.362994
0.0,201,91.573156
0.0,201,91.738367
0.0,201,91.892993
0.0,201,92.064299
0.0,201,92.219833
0.0,201,92.38303
0.0,201,92.544708
0.0,201,92.7094
100.0,1,92.710462
0.0,201,92.881663
0.0,201,93.0474
0.0,201,93.205687
0.0,201,93.366069
0.0,201,93.521789
0.0,201,93.724052
0.0,201,93.874608
0.0,201,94.032319
0.0,201,94.196553
0.0,201,94.355784
0.0,201,94.513631
0.0,201,94.671174
0.0,201,94.84105
0.0,201,94.993861
0.0,201,95.160381
0.0,201,95.325929
0.0,201,95.49344
0.0,201,95.680494
0.0,201,95.872951
0.0,201,96.026811
0.0,201,96.183256
0.0,201,96.343719
0.0,201,96.505122
0.0,201,96.663739
0.0,201,96.836479
0.0,201,97.002912
0.0,201,97.172242
0.0,201,97.342189
0.0,201,97.504167
0.0,201,97.659912
0.0,201,97.83108
0.0,201,98.00773
0.0,201,98.185857
0.0,201,98.352746
0.0,201,98.51048
0.0,201,98.685418
0.0,201,98.847216
100.0,1,98.848002
0.0,201,99.014498
0.0,201,99.176852
0.0,201,99.346261
0.0,201,99.497701
0.0,201,99.68258
0.0,201,99.862125
0.0,201,100.019867
0.0,201,100.202799
0.0,201,100.368422
0.0,201,100.533976
0.0,201,100.693125
0.0,201,100.857638
0.0,201,101.017187
0.0,201,101.191222
0.0,201,101.351574
0.0,201,101.520458
0.0,201,101.686367
0.0,201,101.849714
0.0,201,102.022345
0.0,201,102.18661
0.0,201,102.369493
0.0,201,102.551185
0.0,201,102.715819
0.0,201,102.88496
0.0,201,103.036685
0.0,201,103.198868
0.0,201,103.357908
0.0,201,103.51809
0.0,201,103.680651
0.0,201,103.865177
0.0,201,104.038212
0.0,201,104.207384
0.0,201,104.371783
0.0,201,104.589224
0.0,201,104.766961
0.0,201,104.931005
0.0,201,105.08765
0.0,201,105.285918
0.0,201,105.456203
0.0,201,105.616681
0.0,201,105.772762
0.0,201,105.976945
0.0,201,106.152187
0.0,201,106.316091
0.0,201,106.476668
0.0,201,106.660372
0.0,201,106.843907
0.0,201,107.02072
0.0,201,107.169257
0.0,201,107.332301
0.0,201,107.495399
0.0,201,107.668931
0.0,201,107.825702
0.0,201,107.990662
0.0,201,108.183162
